1000
5
Variable1
Variable2
Variable3
Variable4
Variable5
0
3 3 3 3 3
1 0 0 0 2 0
1 2 0 0 0 0
1 0 0 2 0 0
1 0 1 0 0 1
1 0 0 1 0 0
1 0 0 0 0 0
1 0 0 2 0 0
1 0 0 0 0 0
1 1 0 0 0 0
1 0 0 0 0 0
1 0 1 0 0 0
1 0 2 2 0 0
1 0 0 2 0 0
1 0 0 0 0 2
1 0 2 0 0 0
1 0 0 0 0 0
1 0 0 0 0 1
1 0 0 0 1 0
1 0 0 0 1 1
1 0 2 0 0 0
1 0 0 0 0 0
1 0 0 2 0 1
1 0 2 0 0 2
1 0 0 0 0 0
1 0 0 0 2 0
1 0 0 0 0 0
1 0 0 0 0 0
0 0 0 0 0 0
1 0 0 0 1 0
1 0 0 0 2 0
1 0 0 0 0 0
1 0 0 0 1 0
1 0 2 0 0 1
1 1 0 2 0 0
1 0 0 2 0 0
1 0 0 0 0 2
1 1 1 0 1 0
1 0 0 0 2 0
1 0 0 0 0 0
1 0 0 0 2 0
0 0 0 0 2 2
1 0 0 2 0 0
0 0 0 0 0 0
1 0 1 2 0 0
1 0 0 0 0 0
1 0 0 2 0 0
0 0 0 0 0 0
1 0 0 0 0 0
1 1 0 0 1 0
1 0 1 0 0 0
1 0 1 0 0 0
1 0 0 1 0 0
1 0 0 1 0 0
1 1 2 0 0 0
0 0 0 0 0 0
1 2 0 1 0 0
1 0 1 0 0 2
1 0 0 0 0 1
1 0 1 0 0 0
1 0 2 0 0 1
1 0 0 1 0 2
1 0 2 2 0 0
0 0 0 1 0 0
1 0 0 1 0 0
1 0 0 2 2 0
1 0 0 0 0 0
1 0 0 0 0 0
1 2 0 0 1 0
1 0 0 0 0 0
1 0 0 0 1 0
1 0 2 2 0 0
1 0 2 0 0 0
1 0 0 0 2 0
1 0 0 0 0 0
0 0 0 0 0 0
1 0 0 0 0 0
1 0 2 0 1 0
1 0 1 0 0 0
1 0 0 2 0 1
1 0 0 0 2 0
1 0 1 1 2 0
1 0 0 0 0 0
1 2 0 0 0 1
1 0 0 0 1 0
0 0 2 2 0 0
1 0 0 2 0 0
1 0 0 0 0 0
1 0 0 0 1 0
1 0 0 0 2 0
1 1 0 0 0 0
1 0 0 1 0 0
1 0 0 0 0 0
1 0 0 0 2 1
1 0 0 0 0 0
1 2 1 0 0 0
1 0 2 0 0 0
1 1 0 0 0 0
1 0 2 2 0 0
1 0 0 0 2 0
1 0 2 0 0 0
1 0 0 0 0 0
1 0 1 2 0 0
1 1 0 0 0 0
1 0 0 0 0 0
1 0 1 0 0 0
0 0 0 0 0 1
1 0 0 0 1 0
1 0 2 0 0 2
1 0 0 0 0 0
1 0 2 0 0 0
1 0 0 0 0 0
1 0 2 0 0 0
1 0 0 0 0 0
1 0 0 1 0 0
1 0 1 0 1 0
1 0 1 1 0 2
1 0 0 0 0 2
1 2 0 1 0 0
1 0 0 0 0 2
1 0 0 0 0 0
1 1 0 0 2 0
0 0 0 0 0 0
1 2 0 0 0 0
1 0 2 0 0 0
1 0 0 0 0 2
1 2 0 0 0 0
1 0 2 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 1 0
1 0 0 0 0 2
1 0 0 0 0 0
1 0 0 0 1 0
1 0 0 0 0 0
0 0 2 0 1 0
1 0 0 0 0 0
1 0 0 1 0 0
1 0 0 0 0 1
1 2 0 1 0 0
1 0 0 0 0 0
1 0 0 0 2 0
1 0 0 0 0 0
1 2 2 2 2 0
1 0 0 0 0 2
1 0 1 0 0 2
1 0 0 0 0 1
1 0 0 0 1 0
1 0 0 0 1 0
1 1 0 0 0 2
1 0 0 0 1 0
1 2 2 0 0 0
1 0 0 0 2 1
0 0 0 0 0 0
1 0 0 2 0 2
1 0 0 0 0 1
0 2 0 0 1 0
1 0 1 0 1 0
0 0 1 0 0 0
1 0 0 0 2 0
1 0 0 0 0 0
1 0 1 0 0 1
1 0 0 0 0 1
1 0 0 0 0 0
1 0 0 2 0 0
1 0 0 0 1 0
1 0 0 0 0 2
0 0 0 0 2 1
1 0 0 1 2 0
1 0 0 2 0 2
1 0 0 0 1 0
1 0 0 0 0 0
1 0 0 0 0 0
0 0 0 0 1 0
1 0 0 2 0 0
1 0 0 2 0 0
1 0 0 0 0 1
1 0 0 0 0 0
1 0 1 2 0 2
1 0 0 0 0 2
1 0 0 0 0 1
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 2 0 0 0
0 0 2 0 2 0
1 0 0 0 0 0
1 1 0 0 1 0
1 0 0 2 0 0
1 0 0 0 0 1
1 0 0 0 2 2
1 0 0 1 0 0
1 0 0 0 1 0
1 0 0 0 0 0
0 2 0 0 2 0
0 0 0 0 1 0
1 0 0 0 0 0
1 2 0 0 0 0
0 0 0 0 0 0
1 0 0 0 0 0
1 1 0 0 0 0
0 0 0 1 1 1
0 0 0 0 1 0
1 0 1 1 1 0
1 0 0 1 1 0
0 0 2 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 1 1 1 2
0 2 0 1 1 1
1 0 2 1 1 2
1 0 0 1 1 1
1 2 0 1 1 2
0 2 0 0 2 2
1 0 0 0 1 0
1 0 0 1 1 2
1 0 2 1 0 0
0 0 0 1 1 2
1 0 0 1 1 2
1 0 0 2 1 2
1 0 0 0 2 2
0 0 0 1 1 2
0 0 0 1 1 1
1 0 0 1 1 2
0 0 0 1 1 2
1 0 0 1 1 2
1 0 1 1 1 0
1 0 0 2 1 1
0 0 0 1 1 2
0 2 0 1 1 0
0 1 0 1 1 2
1 0 0 0 1 2
0 0 0 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
1 2 1 1 1 2
1 0 0 2 1 2
1 0 0 2 1 2
1 2 0 1 1 1
1 1 0 1 1 2
1 0 0 0 2 0
1 0 0 1 1 2
1 0 2 0 2 2
1 0 1 1 1 2
1 0 0 1 2 2
1 0 0 1 1 2
1 2 0 1 1 2
1 0 0 1 1 2
1 0 0 1 2 0
1 0 0 1 2 2
1 0 0 1 1 2
1 2 0 1 1 2
0 0 0 1 1 1
1 0 0 1 1 2
1 0 2 1 1 2
1 0 2 1 1 2
1 0 0 0 1 2
1 2 0 1 1 2
0 2 0 1 1 2
0 1 2 1 1 2
1 0 0 1 2 1
0 0 2 1 1 1
1 0 0 1 2 2
1 0 0 1 1 2
0 0 1 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 0 0 1 2
1 1 2 1 1 2
0 0 0 0 1 2
0 0 0 1 1 2
1 0 0 1 0 0
1 0 2 1 1 0
0 0 0 1 1 2
0 0 1 1 1 2
0 1 0 1 1 2
1 0 0 1 1 1
0 2 0 1 1 2
0 0 0 1 1 2
1 0 0 2 1 2
1 0 0 1 1 0
1 0 0 1 1 2
0 0 0 1 1 2
1 2 2 1 1 2
1 2 2 1 1 2
0 0 0 1 1 2
1 1 0 1 2 2
1 2 2 1 0 2
1 0 0 0 1 0
1 0 0 1 1 2
0 0 0 1 1 2
0 0 2 1 1 2
1 0 0 2 1 2
1 0 0 0 1 0
1 0 1 1 2 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
0 1 2 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
0 0 0 0 1 1
1 0 0 1 1 2
0 0 2 0 1 2
1 0 0 1 1 2
1 0 2 1 1 0
0 1 2 1 1 2
0 0 1 1 1 2
1 0 0 1 1 2
0 0 0 1 1 2
0 0 0 1 2 2
1 0 0 1 1 2
0 0 0 0 2 2
1 1 0 1 0 2
1 0 0 1 2 2
1 0 0 0 1 0
1 0 0 1 0 2
1 0 0 1 1 2
1 1 0 1 2 1
1 0 0 1 1 1
1 0 0 1 1 2
1 0 0 1 0 2
0 0 0 2 1 2
0 0 2 1 1 2
1 0 0 0 1 2
1 0 0 1 0 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 1 1 1 1
1 2 0 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 0 0 0 2
0 0 0 1 2 1
0 0 0 1 0 2
1 1 1 1 1 2
1 1 0 1 0 2
1 1 0 1 1 2
1 2 0 1 0 0
1 1 0 2 1 0
1 2 0 1 1 2
0 0 0 2 1 2
1 2 0 1 0 2
1 0 0 0 1 2
0 0 0 0 2 2
0 0 1 2 1 1
0 1 0 1 2 0
1 0 1 2 1 2
1 0 0 1 1 2
1 0 0 1 1 0
1 0 0 1 1 2
1 0 1 1 1 2
0 0 1 1 1 2
0 0 0 0 1 2
1 1 0 1 1 2
0 0 0 1 0 2
0 0 0 1 1 2
1 0 0 0 0 0
1 2 0 2 0 2
1 1 0 1 1 2
1 2 0 2 1 2
0 0 0 1 1 2
1 1 0 2 1 2
1 0 0 1 1 2
0 1 2 1 1 2
1 0 0 1 1 0
0 2 0 1 2 2
0 0 0 2 1 2
0 1 1 1 1 2
1 0 0 1 2 2
0 0 0 0 1 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 0 1 1 0
1 0 0 1 1 0
0 0 2 1 1 2
0 0 0 1 1 2
0 0 0 1 1 2
1 0 0 1 1 2
1 0 0 1 1 2
1 0 0 0 1 2
1 0 0 1 1 1
1 0 0 0 1 2
1 0 0 1 1 2
1 2 0 1 0 2
1 0 0 1 1 2
1 0 0 1 1 2
1 1 1 1 1 2
0 0 0 1 0 2
0 0 0 1 1 0
0 0 0 1 2 2
1 2 2 1 1 0
1 1 0 1 0 2
1 0 2 1 1 2
0 0 0 1 2 1
0 0 0 1 0 0
0 0 0 1 1 2
0 0 2 1 1 2
1 0 1 1 1 2
0 1 1 1 0 2
1 1 1 1 1 0
1 0 1 1 1 1
0 1 1 2 1 1
1 1 2 0 1 1
0 1 2 1 1 0
1 1 1 1 1 1
0 1 2 1 2 0
0 1 1 1 1 1
0 0 1 2 1 2
0 1 1 2 0 1
0 1 1 1 0 0
0 1 1 2 1 1
1 1 1 1 1 1
1 1 1 1 1 1
0 1 1 2 1 1
1 1 2 1 0 1
1 1 1 1 1 1
1 1 1 1 1 1
0 1 1 1 2 0
0 1 1 0 1 2
1 2 1 1 2 1
0 1 0 1 2 1
1 1 0 1 1 1
0 1 1 1 1 2
0 1 1 1 1 1
0 0 2 1 0 1
0 1 2 1 0 1
0 1 0 1 0 2
1 1 1 1 2 1
0 1 1 1 2 1
1 1 1 1 1 1
1 1 0 1 1 1
0 2 1 0 1 1
1 2 1 2 1 1
1 2 0 1 1 1
0 1 1 1 1 1
0 1 1 1 0 1
0 1 1 2 1 1
1 1 1 2 1 1
1 1 1 1 1 1
1 0 1 2 1 1
1 0 1 1 1 1
0 1 1 0 0 1
0 1 2 2 1 1
1 1 1 1 1 1
0 1 1 1 1 0
1 1 1 1 1 1
1 1 1 1 1 1
0 1 1 1 2 1
0 1 1 1 1 1
1 1 0 1 1 1
0 1 2 1 1 2
1 1 1 2 1 1
1 1 1 0 1 1
1 0 1 1 0 1
1 1 1 1 1 1
1 1 1 1 1 1
1 2 1 1 0 1
0 2 1 1 1 1
1 1 1 1 1 1
1 1 1 2 1 1
0 1 2 1 2 1
0 1 1 1 1 2
1 1 1 1 1 1
1 1 1 1 1 2
0 1 0 1 1 2
1 1 1 1 1 1
1 1 1 1 1 1
0 1 1 1 1 1
1 2 1 1 2 1
1 1 1 1 1 1
1 1 1 1 1 2
1 1 1 1 0 1
0 1 2 1 1 2
1 1 1 1 1 1
0 1 1 1 0 1
1 1 1 1 1 1
0 0 1 1 1 1
1 0 1 1 1 2
1 1 1 1 1 1
0 2 1 1 2 1
1 1 1 1 1 0
1 1 1 2 1 1
1 1 1 1 1 0
1 1 1 0 1 0
1 1 1 1 1 1
0 1 1 1 1 1
0 1 2 1 1 1
1 2 1 1 1 1
0 1 1 1 2 1
0 2 1 1 1 0
1 1 0 1 1 1
1 1 2 1 1 1
1 1 0 1 1 0
0 2 1 1 1 0
0 1 2 2 1 2
1 2 1 2 1 1
1 0 1 1 1 1
0 1 1 1 0 1
0 0 0 0 1 1
0 1 1 1 0 1
0 1 0 1 1 1
0 1 1 1 0 1
0 1 1 1 1 1
1 1 1 0 1 2
0 1 1 1 1 1
0 1 1 1 1 0
0 0 1 1 1 1
0 1 1 1 1 2
1 1 1 1 1 1
0 1 1 1 1 1
0 1 1 1 1 1
1 1 1 1 0 2
0 1 1 1 1 1
1 1 1 1 1 1
1 1 1 2 1 1
1 1 0 1 1 1
0 1 1 1 1 2
1 1 0 0 1 2
0 1 1 1 1 1
0 1 2 0 1 1
0 0 1 1 1 1
0 1 1 1 1 1
1 1 2 1 1 2
1 1 1 1 1 1
1 1 1 1 1 1
0 1 1 1 1 1
1 1 1 1 2 1
1 1 1 1 1 1
1 1 1 2 1 1
1 1 1 1 2 1
0 1 0 1 1 1
0 0 1 1 1 1
1 1 1 1 1 1
0 1 1 2 1 1
0 2 1 1 1 1
0 1 1 1 2 2
0 1 1 1 0 1
1 1 1 1 1 1
0 2 0 1 2 1
0 1 1 1 1 1
1 1 1 1 1 2
0 2 1 1 1 2
0 0 1 1 1 2
0 1 1 0 1 1
0 2 1 1 1 2
0 1 1 1 1 1
1 1 1 1 1 2
1 1 1 1 1 1
1 1 1 1 1 1
1 1 1 0 1 1
0 2 1 2 1 0
1 0 2 1 1 1
1 1 1 0 1 1
1 1 1 1 1 1
1 2 0 1 1 1
1 2 1 1 1 2
1 1 0 1 1 2
0 1 1 1 1 1
0 1 0 0 1 1
0 0 1 1 1 1
0 1 2 1 2 1
1 1 1 1 0 0
1 1 2 1 1 1
1 1 1 1 1 1
1 1 0 1 2 1
0 2 1 1 1 0
0 1 1 1 0 1
0 1 2 1 1 1
1 1 1 1 1 1
1 1 1 1 0 1
0 0 1 1 1 2
1 2 1 1 1 1
0 0 2 1 1 1
1 1 1 0 1 1
1 1 1 2 2 1
1 1 1 0 1 0
1 1 0 1 1 1
1 1 1 1 1 0
1 1 1 1 1 1
1 0 1 0 1 1
1 2 1 1 0 2
1 1 2 1 1 1
1 1 1 1 1 1
1 1 1 1 1 1
0 1 1 1 1 2
0 1 1 1 1 1
0 1 1 1 1 2
1 1 1 1 1 0
0 1 2 1 1 0
0 1 1 1 1 1
0 1 2 1 1 2
1 1 0 0 1 1
1 1 1 2 1 1
0 1 1 1 1 1
0 0 1 2 1 1
1 1 1 0 1 1
0 1 1 2 1 0
1 1 1 1 1 2
0 0 1 0 2 2
1 2 0 1 2 0
0 2 2 0 2 0
0 2 1 0 2 0
1 2 1 0 2 1
0 0 1 0 0 0
0 0 1 2 0 0
0 2 1 0 2 0
0 2 2 0 2 1
1 0 1 0 2 0
0 2 1 0 2 0
0 2 1 0 2 0
0 2 1 0 1 2
0 1 1 1 2 2
0 2 1 1 1 2
0 2 1 0 2 2
0 2 1 0 2 0
0 2 1 2 2 1
0 2 1 0 2 2
0 2 1 0 2 0
0 1 1 0 2 1
1 2 1 1 2 0
0 1 1 0 2 0
0 2 1 2 0 0
0 2 1 0 2 0
1 2 1 0 1 1
1 2 1 2 2 2
0 2 1 2 0 0
1 2 1 2 2 0
0 0 1 0 2 0
1 2 0 0 2 0
0 2 1 0 0 0
1 2 1 1 2 0
0 0 0 0 2 1
0 2 1 0 2 2
1 1 1 0 2 0
0 2 1 0 2 0
0 2 1 0 2 0
0 2 1 0 2 0
0 2 0 0 2 0
1 2 1 0 2 0
0 2 2 0 1 2
1 2 1 0 2 1
0 2 1 0 2 0
0 0 2 0 2 0
0 2 1 0 2 0
1 2 1 0 1 0
0 2 1 0 2 0
1 2 2 0 1 0
0 1 2 0 2 2
1 2 1 0 2 0
0 2 2 0 2 0
0 2 1 0 2 0
1 1 0 0 2 0
1 1 1 0 0 1
0 2 1 0 0 0
0 2 1 0 2 0
1 0 2 1 2 0
1 2 1 0 2 0
0 2 2 1 2 0
1 2 2 0 2 0
1 2 1 0 2 2
0 2 1 0 2 2
0 2 1 1 2 0
1 2 1 0 2 0
1 0 1 0 2 0
0 1 1 2 2 0
0 2 1 0 2 0
1 2 1 1 0 2
1 2 1 0 2 0
0 1 1 0 1 0
0 0 1 0 2 0
0 2 0 0 2 0
0 2 0 0 1 1
0 2 1 2 2 0
0 2 1 0 2 0
0 2 1 0 2 0
1 2 1 0 2 1
1 2 1 0 2 1
0 2 1 0 0 0
1 1 1 0 2 0
0 2 1 0 2 0
0 2 0 1 2 0
1 2 1 2 2 2
0 2 1 0 2 0
